name,shirt,team,passes,passes_completed,passing_accuracy_rate,crosses,crossing_accuracy_rate,take_ons_completed,linebreaks_attempted_defensive_line,linebreak_attempted_defensive_line_rate,attempted_switches_of_play,switches_of_play_rate,position
Jordan Pickford,77,ENG,265.0,190.0,72.0,0.0,0.0,0.0,12.0,42.0,3.0,33.0,GK
Manu Kone,80,FRA,263.0,242.0,92.0,1.0,0.0,2.0,3.0,100.0,2.0,50.0,MF
Joao Neves,82,POR,261.0,247.0,95.0,2.0,50.0,3.0,9.0,56.0,3.0,67.0,MF
Aleksandar Pavlovic,83,GER,260.0,240.0,92.0,1.0,0.0,1.0,1.0,0.0,1.0,100.0,MF
Yasser Ibrahim,83,EGY,260.0,239.0,92.0,0.0,0.0,2.0,1.0,0.0,1.0,100.0,DF
Gregor Kobel,85,SUI,255.0,190.0,75.0,0.0,0.0,0.0,6.0,0.0,2.0,50.0,GK
Aurelien Tchouameni,87,FRA,254.0,239.0,94.0,2.0,0.0,0.0,1.0,100.0,2.0,100.0,MF
Ruben Dias,88,POR,249.0,233.0,94.0,0.0,0.0,1.0,6.0,33.0,1.0,100.0,DF
Luka Modric,89,CRO,248.0,225.0,91.0,9.0,44.0,2.0,9.0,44.0,2.0,100.0,MF
Antonio Ruediger,90,GER,246.0,230.0,93.0,1.0,0.0,0.0,4.0,25.0,0.0,0.0,DF
Fares Chaibi,92,ALG,244.0,220.0,90.0,7.0,0.0,3.0,10.0,50.0,3.0,100.0,MF
Frenkie De Jong,94,NED,243.0,224.0,92.0,0.0,0.0,1.0,5.0,80.0,2.0,100.0,MF
Willian Pacho,98,ECU,238.0,217.0,91.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,DF
Ronwen Williams,100,RSA,237.0,179.0,76.0,0.0,0.0,0.0,7.0,29.0,3.0,67.0,GK
Johan Vasquez,91,MEX,237.0,221.0,93.0,0.0,0.0,0.0,4.0,50.0,1.0,100.0,DF
Kim Minjae,91,KOR,226.0,221.0,98.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DF
Lee Gihyuk,95,KOR,236.0,217.0,92.0,4.0,0.0,1.0,3.0,0.0,4.0,100.0,MF
Mathias Olivera,97,URU,226.0,213.0,94.0,3.0,0.0,1.0,6.0,50.0,3.0,100.0,DF
Chadi Riad,98,MAR,226.0,212.0,94.0,0.0,0.0,1.0,1.0,0.0,1.0,100.0,DF
Yuito Suzuki,1,JPN,4.0,4.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,MF
Mattias Svanberg,1,SWE,7.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
Haris Tabakovic,1,BIH,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW
Roshon Van Eijma,1,CUW,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
Alexis Vega,1,MEX,10.0,10.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,FW
Denis Visinsky,1,CZE,14.0,14.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,FW
Nick Woltemade,1,GER,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW
Haji Wright,1,USA,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW
Fabinho,59,BRA,43.0,42.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
Waldemar Anton,62,GER,30.0,29.0,97.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
Hicham Boudaoui,62,ALG,86.0,83.0,97.0,0.0,0.0,1.0,4.0,75.0,1.0,100.0,MF
Hannes Delcroix,62,HAI,151.0,146.0,97.0,1.0,0.0,0.0,2.0,50.0,1.0,100.0,DF
Ousmane Diomande,62,CIV,74.0,72.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
Marco Friedl,62,AUT,31.0,30.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
Ismael Gharbi,62,TUN,36.0,35.0,97.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,MF
Kou Itakura,62,JPN,110.0,107.0,97.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,DF
Hossein Kanani,62,IRN,34.0,33.0,97.0,0.0,0.0,0.0,0.0,0.0,3.0,67.0,DF
John Stones,62,ENG,184.0,178.0,97.0,0.0,0.0,0.0,1.0,100.0,3.0,100.0,DF
Samir Chergui,78,ALG,24.0,23.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
Merih Demiral,78,TUR,124.0,119.0,96.0,1.0,0.0,0.0,5.0,40.0,2.0,100.0,DF
Habib Diarra,78,SEN,54.0,52.0,96.0,1.0,0.0,0.0,2.0,50.0,0.0,0.0,MF
Kim Jingyu,78,KOR,56.0,54.0,96.0,1.0,0.0,0.0,2.0,100.0,0.0,0.0,MF
Maxence Lacroix,78,FRA,130.0,125.0,96.0,0.0,0.0,2.0,0.0,0.0,1.0,100.0,DF
Tomas Araujo,78,POR,102.0,98.0,96.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,DF
Deiver Machado,78,COL,23.0,22.0,96.0,2.0,0.0,0.0,1.0,100.0,0.0,0.0,DF
Nico Paz,78,ARG,56.0,54.0,96.0,1.0,0.0,1.0,2.0,100.0,2.0,100.0,FW
Shogo Taniguchi,78,JPN,127.0,122.0,96.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,DF
Brenden Aaronson,89,USA,22.0,21.0,95.0,3.0,33.0,0.0,2.0,50.0,0.0,0.0,FW
Alan Franco,89,ECU,148.0,140.0,95.0,4.0,0.0,0.0,3.0,33.0,0.0,0.0,MF
Redouane Halhal,89,MAR,119.0,113.0,95.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,DF
Jack Hendry,89,SCO,180.0,171.0,95.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,DF
Lucas Herrington,89,AUS,106.0,101.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
Isak Hien,89,SWE,128.0,122.0,95.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0,DF
Odilon Kossounou,89,CIV,149.0,141.0,95.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,DF
Mateo Kovacic,89,CRO,208.0,198.0,95.0,0.0,0.0,2.0,3.0,67.0,2.0,100.0,MF
Piero Hincapie,49,ECU,189.0,160.0,85.0,15.0,13.0,2.0,13.0,31.0,0.0,0.0,DF
Tijjani Reijnders,49,NED,67.0,53.0,79.0,15.0,40.0,0.0,4.0,50.0,0.0,0.0,MF
Baris Alper Yilmaz,49,TUR,38.0,29.0,76.0,15.0,0.0,7.0,12.0,67.0,2.0,0.0,FW
Brian Rodriguez,57,URU,26.0,19.0,73.0,14.0,7.0,2.0,7.0,71.0,1.0,100.0,FW
Nathanael Mbuku,57,COD,45.0,35.0,78.0,14.0,21.0,4.0,6.0,83.0,0.0,0.0,MF
Denis Zakaria,57,SUI,185.0,160.0,86.0,14.0,14.0,3.0,10.0,70.0,0.0,0.0,MF
Julian Ryerson,57,NOR,149.0,131.0,88.0,14.0,50.0,3.0,13.0,46.0,0.0,0.0,FW
David Raum,57,GER,52.0,44.0,85.0,14.0,21.0,1.0,4.0,50.0,1.0,0.0,DF
Pedro Neto,67,POR,155.0,137.0,88.0,13.0,23.0,7.0,11.0,73.0,2.0,50.0,FW
Anthony Elanga,72,SWE,76.0,60.0,79.0,12.0,0.0,3.0,9.0,33.0,0.0,0.0,FW
Joao Cancelo,72,POR,184.0,160.0,87.0,12.0,33.0,6.0,9.0,56.0,4.0,75.0,DF
Mauricio,72,PAR,69.0,54.0,78.0,12.0,17.0,1.0,4.0,25.0,1.0,100.0,MF
Juan Manuel Sanabria,72,URU,103.0,89.0,86.0,12.0,0.0,0.0,4.0,75.0,0.0,0.0,MF
Cristian Martinez,72,PAN,78.0,57.0,73.0,12.0,17.0,1.0,9.0,22.0,1.0,0.0,MF
Johan Mojica,72,COL,202.0,161.0,80.0,12.0,17.0,0.0,8.0,38.0,1.0,100.0,DF
Akram Afif,72,QAT,93.0,73.0,78.0,12.0,33.0,2.0,12.0,42.0,3.0,67.0,FW
Brian Cipenga,85,COD,47.0,28.0,60.0,11.0,18.0,6.0,12.0,8.0,0.0,0.0,FW
Sidny Lopes Cabral,85,CPV,105.0,87.0,83.0,11.0,9.0,3.0,3.0,33.0,0.0,0.0,DF
Seol Youngwoo,85,KOR,123.0,113.0,92.0,11.0,27.0,0.0,6.0,83.0,0.0,0.0,DF
Andy Robertson,85,SCO,153.0,124.0,81.0,11.0,36.0,1.0,7.0,14.0,3.0,33.0,DF
Leroy Sane,85,GER,189.0,161.0,85.0,11.0,18.0,7.0,9.0,44.0,0.0,0.0,MF
Reece James,85,ENG,188.0,173.0,92.0,11.0,27.0,3.0,8.0,38.0,3.0,33.0,DF
Michal Sadilek,85,CZE,84.0,69.0,82.0,11.0,18.0,0.0,4.0,50.0,2.0,100.0,MF
Guela Doue,85,CIV,163.0,143.0,88.0,11.0,45.0,0.0,9.0,56.0,2.0,100.0,DF
Nicolas Pepe,96,CIV,109.0,93.0,85.0,10.0,30.0,5.0,10.0,60.0,0.0,0.0,FW
Liam Millar,96,CAN,67.0,50.0,75.0,10.0,20.0,4.0,8.0,50.0,0.0,0.0,MF
Kerem Akturkoglu,48,TUR,15.0,9.0,60.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,FW
Edson Alvarez,48,MEX,153.0,138.0,90.0,2.0,50.0,1.0,3.0,0.0,4.0,75.0,DF
Carlens Arcus,48,HAI,61.0,54.0,89.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,DF
Lamine Camara,48,SEN,131.0,117.0,89.0,8.0,50.0,2.0,4.0,50.0,1.0,100.0,MF
Mathieu Choiniere,48,CAN,29.0,23.0,79.0,4.0,50.0,0.0,2.0,50.0,1.0,100.0,MF
Pedro Miguel,48,QAT,78.0,59.0,76.0,2.0,50.0,2.0,7.0,29.0,2.0,100.0,DF
Nicolas De La Cruz,48,URU,55.0,45.0,82.0,4.0,50.0,0.0,7.0,43.0,4.0,100.0,MF
Francis De Vries,48,NZL,16.0,7.0,44.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,DF
Edin Dzeko,48,BIH,48.0,33.0,69.0,2.0,50.0,2.0,3.0,67.0,1.0,100.0,FW
Derrick Etienne,48,HAI,8.0,4.0,50.0,2.0,50.0,0.0,2.0,0.0,0.0,0.0,FW
Jackson Irvine,48,AUS,124.0,103.0,83.0,2.0,50.0,1.0,2.0,0.0,2.0,100.0,MF
Alireza Jahanbakhsh,48,IRN,11.0,7.0,64.0,2.0,50.0,1.0,1.0,100.0,0.0,0.0,MF
Daichi Kamada,48,JPN,200.0,170.0,85.0,4.0,50.0,1.0,6.0,50.0,3.0,100.0,MF
Behruzjon Karimov,48,UZB,55.0,43.0,78.0,2.0,50.0,5.0,3.0,33.0,2.0,0.0,DF
Teun Koopmeiners,48,NED,63.0,54.0,86.0,4.0,50.0,0.0,2.0,50.0,2.0,100.0,MF
Ladislav Krejci,48,CZE,160.0,135.0,84.0,2.0,50.0,0.0,2.0,50.0,1.0,100.0,DF
Lee Hanbeom,48,KOR,200.0,183.0,92.0,2.0,50.0,0.0,3.0,33.0,1.0,100.0,DF
Lautaro Martinez,48,ARG,71.0,60.0,85.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,FW
Kenny Mclean,48,SCO,63.0,56.0,89.0,2.0,50.0,1.0,2.0,100.0,0.0,0.0,MF
Garry Rodrigues,48,CPV,14.0,11.0,79.0,2.0,50.0,2.0,2.0,100.0,0.0,0.0,MF
Aubrey Modiba,48,RSA,139.0,115.0,83.0,8.0,50.0,1.0,9.0,33.0,1.0,100.0,DF
Amir Murillo,48,PAN,112.0,88.0,79.0,8.0,50.0,5.0,12.0,58.0,1.0,100.0,DF
Aiden Oneill,48,AUS,172.0,142.0,83.0,8.0,50.0,3.0,12.0,42.0,3.0,33.0,MF
Nico Oreilly,48,ENG,216.0,200.0,93.0,6.0,50.0,4.0,6.0,67.0,2.0,100.0,DF
Lukas Provod,48,CZE,48.0,37.0,77.0,2.0,50.0,1.0,3.0,100.0,0.0,0.0,MF
Julian Quinones,48,MEX,135.0,111.0,82.0,4.0,50.0,5.0,7.0,100.0,2.0,100.0,FW
Luis Romo,48,MEX,106.0,93.0,88.0,2.0,50.0,0.0,5.0,40.0,0.0,0.0,MF
Alexis Saelemaekers,48,BEL,42.0,33.0,79.0,2.0,50.0,2.0,2.0,100.0,0.0,0.0,MF
Romano Schmid,48,AUT,91.0,65.0,71.0,4.0,50.0,1.0,5.0,40.0,1.0,100.0,MF
Yannick Semedo,48,CPV,35.0,27.0,77.0,2.0,50.0,0.0,0.0,0.0,2.0,100.0,MF
Marko Stamenic,48,NZL,171.0,156.0,91.0,2.0,50.0,2.0,9.0,44.0,1.0,100.0,MF
Daniel Svensson,48,SWE,46.0,38.0,83.0,2.0,50.0,0.0,3.0,33.0,0.0,0.0,DF
Brandon Thomas Asante,48,GHA,6.0,3.0,50.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,FW
Quinten Timber,48,NED,12.0,10.0,83.0,2.0,50.0,0.0,2.0,50.0,0.0,0.0,MF
Tsuyoshi Watanabe,48,JPN,34.0,31.0,91.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,DF
Jaroslav Zeleny,48,CZE,47.0,35.0,74.0,2.0,50.0,1.0,1.0,0.0,0.0,0.0,DF
Abdul Fatawu,51,GHA,22.0,18.0,82.0,7.0,14.0,7.0,8.0,50.0,1.0,100.0,FW
Milad Mohammadi,65,IRN,80.0,66.0,83.0,4.0,0.0,6.0,4.0,75.0,0.0,0.0,DF
Ryan Mendes,65,CPV,82.0,70.0,85.0,5.0,0.0,6.0,4.0,50.0,1.0,100.0,FW
Ali Olwan,65,JOR,48.0,36.0,75.0,8.0,38.0,6.0,4.0,50.0,1.0,100.0,FW
Ibrahim Bayesh,65,IRQ,48.0,40.0,83.0,1.0,0.0,6.0,3.0,33.0,0.0,0.0,MF
Miguel Almiron,65,PAR,67.0,49.0,73.0,4.0,0.0,6.0,6.0,67.0,0.0,0.0,MF
Juan Jose Caceres,65,PAR,129.0,80.0,62.0,9.0,11.0,6.0,13.0,31.0,2.0,50.0,DF
Oscar Bobb,65,NOR,111.0,102.0,92.0,2.0,0.0,6.0,5.0,20.0,0.0,0.0,MF
Omar Marmoush,65,EGY,77.0,65.0,84.0,5.0,0.0,6.0,12.0,75.0,3.0,100.0,FW
Iliman Ndiaye,65,SEN,59.0,53.0,90.0,2.0,0.0,6.0,4.0,50.0,0.0,0.0,FW
Louicius Deedson,85,HAI,15.0,13.0,87.0,5.0,20.0,5.0,5.0,60.0,0.0,0.0,FW
Lenny Joseph,85,HAI,20.0,13.0,65.0,0.0,0.0,5.0,3.0,33.0,1.0,100.0,FW
Antoine Semenyo,85,GHA,68.0,52.0,76.0,5.0,0.0,5.0,5.0,60.0,0.0,0.0,MF
Nasser Aldawsari,85,KSA,107.0,92.0,86.0,1.0,0.0,5.0,2.0,50.0,1.0,0.0,MF
Jaouen Hadjam,85,ALG,67.0,56.0,84.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,DF
Keito Nakamura,85,JPN,117.0,100.0,85.0,9.0,33.0,5.0,10.0,80.0,0.0,0.0,MF
Johan Manzambi,85,SUI,54.0,43.0,80.0,7.0,43.0,5.0,7.0,57.0,0.0,0.0,MF
Eldor Shomurodov,85,UZB,72.0,52.0,72.0,1.0,0.0,5.0,4.0,25.0,0.0,0.0,FW
Franck Kessie,47,CIV,188.0,165.0,88.0,4.0,0.0,2.0,13.0,46.0,2.0,50.0,MF
Ferran Torres,64,ESP,86.0,63.0,73.0,6.0,0.0,2.0,12.0,50.0,0.0,0.0,FW
Matheus Cunha,78,BRA,90.0,78.0,87.0,5.0,0.0,3.0,11.0,36.0,0.0,0.0,FW
Harry Kane,78,ENG,99.0,73.0,74.0,3.0,33.0,1.0,11.0,55.0,2.0,100.0,FW
Stefan Posch,78,AUT,132.0,98.0,74.0,2.0,0.0,0.0,11.0,36.0,0.0,0.0,DF
Ahmed Fatouh,78,EGY,182.0,163.0,90.0,7.0,14.0,1.0,11.0,64.0,0.0,0.0,DF
Hiroki Ito,78,JPN,199.0,178.0,89.0,10.0,20.0,0.0,11.0,27.0,2.0,50.0,DF
Ismaila Sarr,91,SEN,73.0,57.0,78.0,2.0,0.0,4.0,10.0,50.0,0.0,0.0,FW
Jonathan David,91,CAN,103.0,76.0,74.0,6.0,0.0,1.0,10.0,60.0,1.0,100.0,FW
Orlando Gill,91,PAR,159.0,68.0,43.0,0.0,0.0,0.0,10.0,0.0,1.0,100.0,GK
Camilo Vargas,91,COL,202.0,157.0,78.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,GK
Rayan Cherki,91,FRA,104.0,89.0,86.0,3.0,0.0,1.0,10.0,60.0,1.0,100.0,MF
Nestory Irankunda,1,AUS,44.0,32.0,73.0,1.0,0.0,1.0,1.0,100.0,1.0,0.0,FW
Wilson Isidor,1,HAI,21.0,18.0,86.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,FW
Noa Lang,1,NED,13.0,11.0,85.0,1.0,0.0,1.0,2.0,100.0,0.0,0.0,FW
Lee Jaesung,1,KOR,59.0,46.0,78.0,1.0,0.0,0.0,2.0,100.0,1.0,0.0,MF
Juergen Locadia,1,CUW,48.0,37.0,77.0,0.0,0.0,0.0,1.0,100.0,1.0,100.0,FW
Daizen Maeda,1,JPN,30.0,28.0,93.0,3.0,0.0,0.0,1.0,100.0,0.0,0.0,MF
Evidence Makgopa,1,RSA,29.0,20.0,69.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,FW
Scott Mctominay,1,SCO,96.0,87.0,91.0,0.0,0.0,4.0,1.0,100.0,2.0,100.0,MF
Facundo Medina,1,ARG,163.0,150.0,92.0,5.0,40.0,0.0,2.0,100.0,0.0,0.0,DF
Ngalayel Mukau,1,COD,69.0,60.0,87.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,MF
Mert Muldur,1,TUR,81.0,72.0,89.0,6.0,17.0,0.0,4.0,100.0,0.0,0.0,DF
Amadou Onana,1,BEL,64.0,57.0,89.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,MF
Darwin Nunez,1,URU,25.0,20.0,80.0,3.0,33.0,1.0,3.0,100.0,1.0,100.0,FW
Armando Obispo,1,CUW,97.0,87.0,90.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,DF
Helio Varela,1,CPV,29.0,27.0,93.0,1.0,0.0,2.0,3.0,100.0,0.0,0.0,MF
Nicolas Otamendi,1,ARG,187.0,178.0,95.0,0.0,0.0,0.0,1.0,100.0,1.0,100.0,DF
Christ Inao Oulai,1,CIV,125.0,115.0,92.0,0.0,0.0,4.0,4.0,100.0,3.0,100.0,MF
Gavi,1,ESP,31.0,29.0,94.0,2.0,0.0,0.0,1.0,100.0,1.0,100.0,MF
Mario Pasalic,1,CRO,50.0,45.0,90.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,MF
Ricardo Pepi,1,USA,38.0,33.0,87.0,1.0,0.0,4.0,1.0,100.0,0.0,0.0,FW
Stjepan Radeljic,1,BIH,153.0,137.0,90.0,0.0,0.0,0.0,2.0,100.0,2.0,50.0,DF
Richard Rios,1,COL,56.0,47.0,84.0,2.0,0.0,3.0,1.0,100.0,1.0,100.0,MF
Tomas Rodriguez,1,PAN,9.0,7.0,78.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,FW
Elias Saad,1,TUN,29.0,22.0,76.0,2.0,0.0,1.0,1.0,100.0,0.0,0.0,FW
Anass Salah Eddine,1,MAR,166.0,152.0,92.0,3.0,0.0,0.0,1.0,100.0,0.0,0.0,DF
Farrukh Sayfiev,1,UZB,14.0,12.0,86.0,1.0,0.0,1.0,2.0,100.0,0.0,0.0,DF
Xaver Schlager,1,AUT,138.0,130.0,94.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,MF
Nicolas Seiwald,1,AUT,153.0,141.0,92.0,3.0,33.0,0.0,2.0,100.0,1.0,100.0,MF
Nkosinathi Sibisi,1,RSA,52.0,42.0,81.0,0.0,0.0,0.0,1.0,100.0,3.0,100.0,DF
Kwasi Sibo,1,GHA,93.0,88.0,95.0,0.0,0.0,1.0,1.0,100.0,2.0,100.0,MF
